Word,Filename,Count
2023,21.txt,1
2023,22.txt,2
2023,24.txt,1
2023,25.txt,1
2023,28.txt,3
2023,31.txt,1
2023,36.txt,1
2023,48.txt,3
2023,54.txt,1
2023,56.txt,1
2023,60.txt,3
2023,77.txt,2
2023,79.txt,2
2023,80.txt,2
2023,83.txt,2
2023,84.txt,1
2023,85.txt,5
2023,87.txt,1
2023,88.txt,5
2023,9.txt,10
2023,90.txt,4
2023,91.txt,3
2023,92.txt,1
2023,93.txt,3
2023,94.txt,9
2023,95.txt,3
2023,96.txt,6
2023,98.txt,6
2023,99.txt,2
2024,10.txt,14
2024,12.txt,2
2024,13.txt,15
2024,14.txt,7
2024,16.txt,8
2024,20.txt,3
2024,21.txt,1
2024,23.txt,1
2024,25.txt,2
2024,27.txt,15
2024,33.txt,2
2024,39.txt,9
2024,42.txt,20
2024,43.txt,20
2024,45.txt,15
2024,48.txt,2
2024,50.txt,1
2024,55.txt,2
2024,58.txt,1
2024,60.txt,4
2024,61.txt,2
2024,7.txt,2
2024,72.txt,1
2024,76.txt,14
2024,80.txt,15
2024,83.txt,1
2024,84.txt,3
2024,85.txt,1
2024,86.txt,2
2024,88.txt,1
2024,9.txt,3
2024,90.txt,17
2024,91.txt,16
2024,92.txt,3
2024,93.txt,17
2024,94.txt,26
2024,95.txt,16
2024,96.txt,6
2024,97.txt,13
2024,98.txt,6
2024,99.txt,1
2025,1.txt,10
2025,10.txt,32
2025,100.txt,4
2025,11.txt,14
2025,12.txt,4
2025,13.txt,39
2025,14.txt,27
2025,15.txt,1
2025,16.txt,10
2025,17.txt,2
2025,18.txt,1
2025,19.txt,1
2025,2.txt,2
2025,20.txt,1
2025,21.txt,4
2025,22.txt,1
2025,23.txt,1
2025,24.txt,19
2025,25.txt,2
2025,26.txt,7
2025,27.txt,11
2025,28.txt,2
2025,29.txt,2
2025,3.txt,10
2025,30.txt,1
2025,31.txt,3
2025,32.txt,1
2025,33.txt,7
2025,34.txt,1
2025,35.txt,5
2025,36.txt,17
2025,37.txt,21
2025,38.txt,15
2025,39.txt,11
2025,4.txt,1
2025,40.txt,1
2025,41.txt,21
2025,42.txt,2
2025,43.txt,2
2025,44.txt,14
2025,45.txt,6
2025,46.txt,1
2025,47.txt,4
2025,48.txt,2
2025,49.txt,4
2025,50.txt,4
2025,51.txt,3
2025,52.txt,2
2025,53.txt,9
2025,54.txt,1
2025,55.txt,3
2025,56.txt,2
2025,57.txt,1
2025,58.txt,2
2025,59.txt,1
2025,6.txt,7
2025,60.txt,7
2025,61.txt,1
2025,62.txt,5
2025,63.txt,2
2025,64.txt,2
2025,65.txt,2
2025,66.txt,2
2025,67.txt,2
2025,68.txt,2
2025,69.txt,2
2025,7.txt,1
2025,70.txt,2
2025,71.txt,20
2025,72.txt,2
2025,73.txt,1
2025,74.txt,1
2025,75.txt,12
2025,76.txt,13
2025,77.txt,1
2025,78.txt,1
2025,79.txt,2
2025,8.txt,1
2025,80.txt,7
2025,81.txt,11
2025,82.txt,4
2025,83.txt,1
2025,84.txt,1
2025,85.txt,2
2025,86.txt,2
2025,87.txt,16
2025,88.txt,4
2025,89.txt,15
2025,9.txt,1
2025,90.txt,2
2025,91.txt,2
2025,92.txt,21
2025,93.txt,2
2025,94.txt,24
2025,95.txt,3
2025,96.txt,5
2025,97.txt,8
2025,98.txt,5
2025,99.txt,1
2026,2.txt,1
2026,25.txt,1
2026,3.txt,1
2026,52.txt,1
2026,58.txt,1
2026,8.txt,2
2026,85.txt,1
2026,92.txt,2
2027,1.txt,1
2027,11.txt,1
2027,12.txt,1
2027,2.txt,1
2027,32.txt,1
2027,58.txt,5
2027,6.txt,1
2027,7.txt,2
2027,8.txt,1
2027,86.txt,1
2028,2.txt,1
204,80.txt,1
2050,79.txt,1
2057,45.txt,1
20m,56.txt,1
20m,75.txt,1
20th,13.txt,1
20th,23.txt,1
20th,44.txt,2
20th,56.txt,1
20th,87.txt,1
20th,92.txt,1
21,10.txt,3
21,11.txt,2
21,14.txt,1
21,22.txt,2
21,24.txt,1
21,27.txt,1
21,28.txt,1
21,30.txt,3
21,35.txt,5
21,36.txt,1
21,37.txt,1
21,38.txt,2
21,39.txt,1
21,4.txt,2
21,41.txt,1
21,42.txt,3
21,43.txt,3
21,44.txt,2
21,45.txt,1
21,46.txt,1
21,50.txt,1
21,7.txt,2
21,72.txt,1
21,73.txt,1
21,74.txt,1
21,76.txt,1
21,77.txt,3
21,80.txt,1
21,84.txt,1
21,87.txt,2
21,88.txt,1
21,89.txt,2
21,90.txt,2
21,91.txt,2
21,92.txt,2
21,93.txt,2
21,94.txt,2
21,95.txt,2
21,96.txt,1
21,97.txt,3
21,98.txt,1
212,16.txt,1
212,61.txt,1
21g,96.txt,1
21st,11.txt,1
22,10.txt,1
22,100.txt,1
22,13.txt,3
22,14.txt,3
22,16.txt,3
22,21.txt,5
22,27.txt,1
22,38.txt,1
22,39.txt,1
22,4.txt,2
22,42.txt,2
22,43.txt,2
22,44.txt,1
22,45.txt,1
22,51.txt,1
22,62.txt,1
22,8.txt,1
22,86.txt,2
22,87.txt,1
22,89.txt,1
22,92.txt,1
22,97.txt,1
220m,34.txt,1
2275,56.txt,2
2283,8.txt,1
22h,8.txt,1
23,1.txt,1
23,10.txt,5
23,12.txt,1
23,13.txt,4
23,14.txt,3
23,16.txt,17
23,21.txt,22
23,27.txt,1
23,28.txt,16
23,33.txt,1
23,37.txt,5
23,38.txt,1
23,39.txt,1
23,41.txt,5
23,44.txt,1
23,45.txt,1
23,50.txt,1
23,51.txt,1
23,56.txt,1
23,58.txt,1
23,6.txt,1
23,7.txt,2
23,76.txt,1
23,8.txt,4
23,83.txt,1
23,85.txt,12
23,87.txt,2
23,88.txt,13
23,89.txt,1
23,9.txt,1
23,90.txt,1
23,91.txt,1
23,92.txt,1
23,93.txt,1
23,94.txt,1
23,95.txt,1
23,96.txt,1
23,97.txt,2
23,98.txt,1
234,56.txt,1
24,1.txt,5
24,10.txt,1
24,11.txt,1
24,12.txt,1
24,13.txt,4
24,14.txt,4
24,16.txt,1
24,20.txt,1
24,21.txt,2
24,22.txt,1
24,24.txt,3
24,3.txt,2
24,35.txt,2
24,36.txt,3
24,37.txt,2
24,38.txt,1
24,4.txt,2
24,41.txt,2
24,42.txt,1
24,44.txt,1
24,53.txt,2
24,59.txt,2
24,6.txt,2
24,66.txt,1
24,71.txt,11
24,74.txt,1
24,75.txt,1
24,79.txt,1
24,8.txt,5
24,83.txt,1
24,85.txt,1
24,87.txt,1
24,88.txt,1
24,89.txt,1
24,90.txt,2
24,91.txt,2
24,92.txt,1
24,93.txt,2
24,94.txt,7
24,95.txt,3
24,96.txt,6
24,97.txt,3
24,98.txt,3
24,99.txt,2
240,92.txt,1
243,77.txt,1
248m,60.txt,1
24km,26.txt,1
25,10.txt,3
25,11.txt,1
25,12.txt,1
25,13.txt,4
25,14.txt,2
25,16.txt,2
25,18.txt,2
25,2.txt,1
25,23.txt,1
25,24.txt,3
25,26.txt,2
25,28.txt,1
25,3.txt,2
25,33.txt,2
25,36.txt,2
25,37.txt,2
25,38.txt,5
25,39.txt,1
25,41.txt,1
25,44.txt,5
25,47.txt,2
25,48.txt,1
25,56.txt,1
25,58.txt,1
25,61.txt,1
25,71.txt,4
25,76.txt,1
25,8.txt,2
25,80.txt,2
25,87.txt,5
25,89.txt,5
25,90.txt,1
25,91.txt,2
25,92.txt,5
25,93.txt,1
